Freq [GHz],"3.11117,3.65863,2.9958,3.357743.01181","3.2408,3.88729,3.05822,3.357743.13475","3.30562,3.96351,3.12063,3.357743.04255","3.37043,3.73485,3.18304,3.357743.07328","3.17598,3.81107,3.24546,3.357743.10401","3.30562,3.73485,2.9958,3.392013.13475","3.17598,3.65863,3.05822,3.392013.04255","3.37043,3.88729,3.12063,3.392013.10401","3.2408,3.81107,3.18304,3.392013.01181","3.11117,3.96351,3.24546,3.392013.07328","3.37043,3.81107,2.9958,3.426273.04255","3.11117,3.73485,3.05822,3.426273.10401","3.2408,3.65863,3.12063,3.426273.07328","3.17598,3.96351,3.18304,3.426273.13475","3.30562,3.88729,3.24546,3.426273.01181","3.17598,3.88729,2.9958,3.460533.07328","3.37043,3.96351,3.05822,3.460533.01181","3.11117,3.81107,3.12063,3.460533.13475","3.30562,3.65863,3.18304,3.460533.10401","3.2408,3.73485,3.24546,3.460533.04255","3.2408,3.96351,2.9958,3.49483.10401","3.30562,3.81107,3.05822,3.49483.07328","3.17598,3.73485,3.12063,3.49483.01181","3.11117,3.88729,3.18304,3.49483.04255","3.37043,3.65863,3.24546,3.49483.13475","3,4.1,3.5,3.33"
10.91,-16.41886668,-5.586129323,-19.72503304,-19.26823902,-14.1198761,-10.97400113,-37.45269572,-17.82219447,-14.0137833,-11.82114274,-12.96769389,-12.73867304,-27.52912727,-7.792660221,-8.235297609,-11.63618299,-5.117327408,-11.27263384,-18.54461123,-13.24352058,-29.58393234,-32.21470703,-4.518312787,-7.780313216,-9.061801401,-8.902140497
10.92,-18.34919968,-4.950935406,-17.66670983,-22.22792425,-11.29779016,-10.04142665,-28.52764256,-17.21738237,-14.03896328,-10.66221324,-15.01309241,-12.2537626,-30.54102056,-7.794341231,-9.022981697,-13.07821292,-6.074064681,-11.74728612,-16.06112452,-15.96056667,-28.47387087,-22.92418701,-5.374863602,-9.30225681,-8.508920113,-11.26957173
10.93,-21.46854026,-4.481888508,-16.2824312,-26.09373641,-9.49221957,-9.312953731,-24.831259,-16.86659368,-14.23313539,-9.889284601,-18.12762339,-12.05365455,-38.74663422,-7.871773692,-10.09647712,-15.17757808,-7.412598289,-12.33421333,-14.17618057,-20.73202356,-19.5290532,-15.57838568,-6.613706435,-11.58559258,-8.228031701,-15.05448279
10.94,-26.92235878,-4.129415124,-15.36927458,-31.77725069,-8.257153589,-8.710305895,-22.91162879,-16.67009028,-14.66398269,-9.400352616,-23.75067515,-12.07968691,-38.30824415,-7.994503868,-11.58896016,-18.40131687,-9.353450115,-12.9656128,-12.75211879,-35.33006533,-15.55090146,-11.84737071,-8.477041286,-15.32501611,-8.2457662,-22.60491706
10.95,-43.92288252,-3.859121351,-14.81683012,-44.61326257,-7.381168752,-8.174926181,-22.01986786,-16.53200612,-15.41166823,-9.133211775,-49.70492282,-12.28400826,-28.06207046,-8.126226278,-13.74379317,-24.19191459,-12.35314346,-13.5347403,-11.71611489,-24.03022976,-13.20969625,-9.490261539,-11.48118996,-23.25588082,-8.636940686,-30.73209312
10.96,-30.20516208,-3.645725076,-14.55931068,-39.51381652,-6.745282439,-7.660758654,-21.9093084,-16.35067385,-16.59440256,-9.047451006,-23.84777357,-12.61637082,-23.16943858,-8.2229227,-17.10712131,-47.88778777,-17.73421773,-13.89062823,-11.03485859,-16.78423432,-11.77361138,-7.895165434,-17.19954818,-28.05140503,-9.572683323,-17.94717334
10.97,-24.0683272,-3.469495188,-14.5548808,-32.24471035,-6.27465201,-7.131987755,-22.5308388,-16.02018253,-18.42214766,-9.114643024,-17.75358332,-13.0119955,-20.01416156,-8.233848047,-23.52625438,-24.6717155,-38.89669751,-13.8591652,-10.70942555,-12.95544412,-10.98169651,-6.797818758,-47.55033698,-16.62455821,-11.46240722,-13.36102024
10.98,-21.08266041,-3.314164484,-14.77436783,-28.67457262,-5.917825329,-6.563613445,-23.98727749,-15.44481999,-21.35343201,-9.31171627,-14.33879433,-13.38061982,-17.82130453,-8.106934813,-38.89303666,-18.91517099,-19.37187083,-13.30354971,-10.78471673,-10.45738019,-10.75444855,-6.059974735,-16.68266631,-12.08222391,-15.55556392,-10.72649938
10.99,-19.40368904,-3.165833163,-15.19294203,-26.14313455,-5.636376641,-5.943315567,-26.62491243,-14.56301939,-26.8146627,-9.615325927,-12.08386138,-13.60162112,-16.30668196,-7.799125308,-20.83307829,-15.88297081,-13.16310845,-12.19797631,-11.38141443,-8.709059973,-11.1456403,-5.606329306,-11.0170027,-9.405454581,-32.67839518,-9.014514467
11,-18.50434773,-3.012626871,-15.78153285,-23.93469291,-5.399290419,-5.273029884,-31.52008607,-13.36815878,-52.33442803,-9.996147378,-10.51742396,-13.53559966,-15.35677809,-7.289342903,-15.43455284,-14.09257195,-9.904834232,-10.65147217,-12.78840051,-7.457766512,-12.40656423,-5.403566798,-7.980734057,-7.659836118,-15.73625972,-7.844109693
11.01,-18.16835013,-2.844956761,-16.4956607,-21.75978818,-5.179974572,-4.568724588,-43.63605212,-11.91167125,-26.69903162,-10.41277592,-9.432784429,-13.06144556,-14.95446983,-6.588679376,-12.29483648,-13.11860432,-7.865283794,-8.859111008,-15.80265195,-6.568222143,-15.31607802,-5.457178142,-6.094593369,-6.486420958,-8.567977846,-7.028383441
